o,as,at,amus,atis,ant
em,es,et,emus,etis,ent
or,aris,atur,amur,amini,antur
er,eris,etur,emur,emini,entur
abam,abas,abat,abamus,abatis,abant
arem,ares,aret,aremus,aretis,arent
abar,abaris,abatur,abamur,abamini,abantur
arer,areris,aretur,aremur,aremini,arentur
abor,aberis,abitur,abimur,abimini,abuntur
avero,averis,averit,averimus,averitis,averint
avi,avisti,avit,avimus,avistis,averunt
averim,averis,averit,averimus,averitis,averint
atus sum,atus es,atus est,ati sumus,ati estis,ati sunt
atus sim,atus sis,atus sit,ati simus,ati sitis,ati sint
averam,averas,averat,averamus,averatis,averant
avissem,avisses,avisset,avissemus,avissetis,avissent
atus eram,atus eras,atus erat,ati eramus,ati eratis,ati erant
atus essem,atus esses,atus esset,ati essemus,ati essetis,ati essent
abo,abis,abit,abimus,abitis,abunt
atus ero,atus eris,atus erit,ati erimus,ati eritis,ati erunt
